case_id,distance,distance_ratio,edges,error_code,fallback_used,found,nodes,path_distance,peak_kib_uniform,quality_guard_replaced,quality_guard_used,quality_guard_work,reentry_count,requested_nodes,seed,solver,steps,switch_count,topology,topology_gate_action,topology_gate_reasons,topology_risk_class,topology_risk_score,total_time_ms,total_work,valid
0,38.0,1.0,760,,False,True,400,38.0,86.0546875,False,False,0,0,400,0,dijkstra,400,0,open,BASELINE,,,,3.1032050000021627,1518,True
0,38.0,1.0,760,,False,True,400,38.0,200.7578125,False,False,0,0,400,0,bidir,380,0,open,BASELINE,,,,6.671512000025359,1444,True
0,38.0,1.0,760,,False,True,400,38.0,85.609375,False,False,0,0,400,0,astar,400,0,open,BASELINE,,,,3.171877999989192,1518,True
0,38.0,1.0,760,,False,True,400,38.0,201.03515625,False,False,0,0,400,0,dg5,42,0,open,BASELINE,,,,22.500003999994078,1960,True
1,38.0,1.0,760,,False,True,400,38.0,85.9609375,False,False,0,0,400,1,dijkstra,400,0,open,BASELINE,,,,3.365647999999055,1518,True
1,38.0,1.0,760,,False,True,400,38.0,147.0,False,False,0,0,400,1,bidir,380,0,open,BASELINE,,,,5.765238000094541,1444,True
1,38.0,1.0,760,,False,True,400,38.0,85.609375,False,False,0,0,400,1,astar,400,0,open,BASELINE,,,,2.9608010000856666,1518,True
1,38.0,1.0,760,,False,True,400,38.0,201.02734375,False,False,0,0,400,1,dg5,42,0,open,BASELINE,,,,21.706159000018488,1960,True
2,38.0,1.0,760,,False,True,400,38.0,85.9609375,False,False,0,0,400,2,dijkstra,400,0,open,BASELINE,,,,3.1574459999319515,1518,True
2,38.0,1.0,760,,False,True,400,38.0,186.25,False,False,0,0,400,2,bidir,380,0,open,BASELINE,,,,8.793213999979343,1444,True
2,38.0,1.0,760,,False,True,400,38.0,85.609375,False,False,0,0,400,2,astar,400,0,open,BASELINE,,,,2.910646000032102,1518,True
2,38.0,1.0,760,,False,True,400,38.0,201.01953125,False,False,0,0,400,2,dg5,42,0,open,BASELINE,,,,21.532844000034856,1960,True
3,78.0,1.0,3120,,False,True,1600,78.0,339.2421875,False,False,0,0,1600,0,dijkstra,1600,0,open,BASELINE,,,,16.19298900004651,6238,True
3,78.0,1.0,3120,,False,True,1600,78.0,701.7578125,False,False,0,0,1600,0,bidir,1560,0,open,BASELINE,,,,34.98475599997164,6084,True
3,78.0,1.0,3120,,False,True,1600,78.0,342.9140625,False,False,0,0,1600,0,astar,1600,0,open,BASELINE,,,,15.526690000001508,6238,True
3,78.0,1.0,3120,,False,True,1600,78.0,897.39453125,False,False,0,0,1600,0,dg5,162,0,open,BASELINE,,,,108.25216399996407,8000,True
4,78.0,1.0,3120,,False,True,1600,78.0,339.2421875,False,False,0,0,1600,1,dijkstra,1600,0,open,BASELINE,,,,15.623144000073808,6238,True
4,78.0,1.0,3120,,False,True,1600,78.0,704.5390625,False,False,0,0,1600,1,bidir,1560,0,open,BASELINE,,,,72.03760400000192,6084,True
4,78.0,1.0,3120,,False,True,1600,78.0,342.9140625,False,False,0,0,1600,1,astar,1600,0,open,BASELINE,,,,15.737274999992223,6238,True
4,78.0,1.0,3120,,False,True,1600,78.0,897.67578125,False,False,0,0,1600,1,dg5,162,0,open,BASELINE,,,,112.31041700000333,8000,True
5,78.0,1.0,3120,,False,True,1600,78.0,341.4921875,False,False,0,0,1600,2,dijkstra,1600,0,open,BASELINE,,,,16.460730999938278,6238,True
5,78.0,1.0,3120,,False,True,1600,78.0,810.6640625,False,False,0,0,1600,2,bidir,1560,0,open,BASELINE,,,,36.010933999932604,6084,True
5,78.0,1.0,3120,,False,True,1600,78.0,342.9140625,False,False,0,0,1600,2,astar,1600,0,open,BASELINE,,,,16.744314999982635,6238,True
5,78.0,1.0,3120,,False,True,1600,78.0,897.44140625,False,False,0,0,1600,2,dg5,162,0,open,BASELINE,,,,109.39974099994743,8000,True
6,22.64001150764389,1.0,760,,False,True,400,22.64001150764389,86.9453125,False,False,0,0,400,0,dijkstra,396,0,weighted_noise,BASELINE,,,,3.255133000038768,1505,True
6,22.640011507643887,0.9999999999999999,760,,False,True,400,22.64001150764389,176.40625,False,False,0,0,400,0,bidir,332,0,weighted_noise,BASELINE,,,,7.700881000005211,1081,True
6,23.91703129446701,1.0564054389456454,760,,False,True,400,23.470405377281267,15.0625,False,False,0,0,400,0,astar,58,0,weighted_noise,BASELINE,,,,0.3273710000257779,221,False
6,22.64001150764389,1.0,760,,True,True,400,22.64001150764389,200.98046875,False,False,0,0,400,0,dg5,332,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,26.17173599992384,3001,True
7,22.237518860076822,1.0,760,,False,True,400,22.237518860076822,86.703125,False,False,0,0,400,1,dijkstra,392,0,weighted_noise,BASELINE,,,,3.3831139999165316,1491,True
7,22.23751886007682,0.9999999999999999,760,,False,True,400,22.237518860076822,176.9609375,False,False,0,0,400,1,bidir,344,0,weighted_noise,BASELINE,,,,5.468212000096173,1086,True
7,25.19179877456191,1.1328511482361878,760,,False,True,400,25.09461561797457,23.15625,False,False,0,0,400,1,astar,83,0,weighted_noise,BASELINE,,,,0.5915070000810374,324,False
7,22.237518860076822,1.0,760,,True,True,400,22.237518860076822,200.97265625,False,False,0,0,400,1,dg5,344,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,24.290694999990592,3006,True
8,24.79502109296181,1.0,760,,False,True,400,24.79502109296181,86.671875,False,False,0,0,400,2,dijkstra,400,0,weighted_noise,BASELINE,,,,3.2605510000394133,1518,True
8,24.79502109296181,1.0,760,,False,True,400,24.79502109296181,176.71875,False,False,0,0,400,2,bidir,344,0,weighted_noise,BASELINE,,,,4.754660999992666,1061,True
8,25.689540107741056,1.0360765579277187,760,,False,True,400,25.649606594869915,15.203125,False,False,0,0,400,2,astar,54,0,weighted_noise,BASELINE,,,,0.2892440001005525,205,False
8,24.79502109296181,1.0,760,,True,True,400,24.79502109296181,200.96484375,False,False,0,0,400,2,dg5,344,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,23.96366499999658,2981,True
9,49.058938674633474,1.0,3120,,False,True,1600,49.058938674633474,340.6015625,False,False,0,0,1600,0,dijkstra,1600,0,weighted_noise,BASELINE,,,,16.5865589999612,6238,True
9,49.05893867463347,0.9999999999999999,3120,,False,True,1600,49.058938674633474,613.9609375,False,False,0,0,1600,0,bidir,1484,0,weighted_noise,BASELINE,,,,26.719828999944184,4672,True
9,50.395915991469856,1.0272524712714113,3120,,False,True,1600,50.33531960013587,38.5234375,False,False,0,0,1600,0,astar,148,0,weighted_noise,BASELINE,,,,1.3094549999550509,580,False
9,49.058938674633474,1.0,3120,,True,True,1600,49.058938674633474,983.703125,False,False,0,0,1600,0,dg5,1484,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,127.46878800010109,12512,True
10,46.89970798063637,1.0,3120,,False,True,1600,46.89970798063637,342.0,False,False,0,0,1600,1,dijkstra,1600,0,weighted_noise,BASELINE,,,,16.52739099995415,6238,True
10,46.899707980636364,0.9999999999999999,3120,,False,True,1600,46.89970798063637,660.5390625,False,False,0,0,1600,1,bidir,1444,0,weighted_noise,BASELINE,,,,25.768832000039765,4621,True
10,51.427650552665646,1.0965452188721247,3120,,False,True,1600,50.811728234701015,38.5546875,False,False,0,0,1600,1,astar,152,0,weighted_noise,BASELINE,,,,1.281282000036299,598,False
10,46.89970798063637,1.0,3120,,True,True,1600,46.89970798063637,1034.6875,False,False,0,0,1600,1,dg5,1444,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,128.870390999964,12461,True
11,48.36186860781894,1.0,3120,,False,True,1600,48.36186860781894,341.2578125,False,False,0,0,1600,2,dijkstra,1600,0,weighted_noise,BASELINE,,,,16.478236000011748,6238,True
11,48.361868607818955,1.0000000000000002,3120,,False,True,1600,48.36186860781894,645.5078125,False,False,0,0,1600,2,bidir,1542,0,weighted_noise,BASELINE,,,,26.376744000003782,4906,True
11,49.35240932371695,1.0204818536672062,3120,,False,True,1600,49.35240932371695,37.4765625,False,False,0,0,1600,2,astar,152,0,weighted_noise,BASELINE,,,,1.2440560000186451,595,True
11,48.36186860781894,1.0,3120,,True,True,1600,48.36186860781894,1019.6484375,False,False,0,0,1600,2,dg5,1542,0,weighted_noise,EXACT_PRECHECK,GEOMETRY_WEIGHT_MISMATCH,medium,0.35,128.81694000009247,12746,True
12,38.0,1.0,703,,False,True,381,38.0,66.2890625,False,False,0,0,400,0,dijkstra,318,0,wall,BASELINE,,,,2.194931999952132,1175,True
12,38.0,1.0,703,,False,True,381,38.0,170.796875,False,False,0,0,400,0,bidir,306,0,wall,BASELINE,,,,4.317475999982889,1136,True
12,38.0,1.0,703,,False,True,381,38.0,33.25,False,False,0,0,400,0,astar,253,0,wall,BASELINE,,,,1.3789380000162055,929,True
12,38.0,1.0,703,,False,True,381,38.0,194.82421875,False,False,0,0,400,0,dg5,41,0,wall,BASELINE,,,,20.389098000009653,1826,True
13,38.0,1.0,703,,False,True,381,38.0,32.7109375,False,False,0,0,400,1,dijkstra,282,0,wall,BASELINE,,,,1.6693740000164325,1039,True
