barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
400,0,400,1.0,,True,400,1,1,400,,400,0,1,dijkstra,,open,1518,True,2.8962480000700452,1,1
380,0,380,1.0,,True,380,1,1,400,,400,0,1,bidir,,open,1444,True,5.124758999954793,1,1
400,0,400,1.0,,True,400,1,1,400,,400,0,1,astar,,open,1518,True,2.861927000594733,1,1
40,0,80,1.0,,True,40,1,1.0,400,0,400,0,0.5,dg5_bulk,0,open,440,True,0.37998300012986874,1.0,1
42,0,152,1.0,,True,110,2,1.9047619047619047,400,1,400,0,0.3442622950819672,dg5_bulk,1,open,588,True,1.18527799986623,0.9523809523809523,2
34,0,158,1.0,,True,124,4,3.5294117647058822,400,2,400,0,0.22077922077922077,dg5_bulk,2,open,741,True,1.7973799995161244,0.8823529411764706,4
27,0,149,1.0,,True,122,8,5.2592592592592595,400,3,400,0,0.15976331360946747,dg5_bulk,3,open,859,True,2.7500280002641375,0.6574074074074074,8
400,1,400,1.0,,True,400,1,1,400,,400,1,1,dijkstra,,open,1518,True,2.73787900005118,1,1
380,1,380,1.0,,True,380,1,1,400,,400,1,1,bidir,,open,1444,True,5.118369999763672,1,1
400,1,400,1.0,,True,400,1,1,400,,400,1,1,astar,,open,1518,True,2.8964390003238805,1,1
40,1,80,1.0,,True,40,1,1.0,400,0,400,1,0.5,dg5_bulk,0,open,440,True,0.3624559994932497,1.0,1
42,1,152,1.0,,True,110,2,1.9047619047619047,400,1,400,1,0.3442622950819672,dg5_bulk,1,open,588,True,1.077505000466772,0.9523809523809523,2
34,1,158,1.0,,True,124,4,3.5294117647058822,400,2,400,1,0.22077922077922077,dg5_bulk,2,open,741,True,1.841216999309836,0.8823529411764706,4
27,1,149,1.0,,True,122,8,5.2592592592592595,400,3,400,1,0.15976331360946747,dg5_bulk,3,open,859,True,2.527491999899212,0.6574074074074074,8
1600,2,1600,1.0,,True,1600,1,1,1600,,1600,0,1,dijkstra,,open,6238,True,15.211210999950708,1,1
1560,2,1560,1.0,,True,1560,1,1,1600,,1600,0,1,bidir,,open,6084,True,29.216012999313534,1,1
1600,2,1600,1.0,,True,1600,1,1,1600,,1600,0,1,astar,,open,6238,True,15.03268200031016,1,1
160,2,320,1.0,,True,160,1,1.0,1600,0,1600,0,0.5,dg5_bulk,0,open,1760,True,1.5498279999519582,1.0,1
81,2,162,1.0,,True,81,2,1.9753086419753085,1600,0,1600,0,0.3360995850622407,dg5_bulk,0,open,1760,True,1.3987290003569797,0.9876543209876543,2
83,2,233,1.0,,True,150,4,3.855421686746988,1600,1,1600,0,0.20595533498759305,dg5_bulk,1,open,2085,True,2.852171999620623,0.963855421686747,4
67,2,245,1.0,,True,178,8,7.164179104477612,1600,2,1600,0,0.12248628884826325,dg5_bulk,3,open,2460,True,4.74852200022724,0.8955223880597015,8
1600,3,1600,1.0,,True,1600,1,1,1600,,1600,1,1,dijkstra,,open,6238,True,15.380406000076619,1,1
1560,3,1560,1.0,,True,1560,1,1,1600,,1600,1,1,bidir,,open,6084,True,30.117006999716978,1,1
1600,3,1600,1.0,,True,1600,1,1,1600,,1600,1,1,astar,,open,6238,True,15.22111899976153,1,1
160,3,320,1.0,,True,160,1,1.0,1600,0,1600,1,0.5,dg5_bulk,0,open,1760,True,1.5320509992307052,1.0,1
81,3,162,1.0,,True,81,2,1.9753086419753085,1600,0,1600,1,0.3360995850622407,dg5_bulk,0,open,1760,True,1.388124000186508,0.9876543209876543,2
83,3,233,1.0,,True,150,4,3.855421686746988,1600,1,1600,1,0.20595533498759305,dg5_bulk,1,open,2085,True,2.9650319993379526,0.963855421686747,4
67,3,245,1.0,,True,178,8,7.164179104477612,1600,2,1600,1,0.12248628884826325,dg5_bulk,3,open,2460,True,4.766379000102461,0.8955223880597015,8
4900,4,4900,1.0,,True,4900,1,1,4900,,4900,0,1,dijkstra,,open,19318,True,51.91264200038859,1,1
4830,4,4830,1.0,,True,4830,1,1,4900,,4900,0,1,bidir,,open,19044,True,105.0663859996348,1,1
4900,4,4900,1.0,,True,4900,1,1,4900,,4900,0,1,astar,,open,19318,True,54.64232400026958,1,1
490,4,980,1.0,,True,490,1,1.0,4900,0,4900,0,0.5,dg5_bulk,0,open,5390,True,4.518395000559394,1.0,1
246,4,492,1.0,,True,246,2,1.991869918699187,4900,0,4900,0,0.3342391304347826,dg5_bulk,0,open,5390,True,4.483181999603403,0.9959349593495935,2
248,4,571,1.0,,True,323,4,3.9516129032258065,4900,1,4900,0,0.20195439739413681,dg5_bulk,1,open,6075,True,6.949853000151052,0.9879032258064516,4
127,4,331,1.0,,True,204,8,7.716535433070866,4900,1,4900,0,0.11472448057813911,dg5_bulk,2,open,6199,True,8.432859999629727,0.9645669291338582,8
4900,5,4900,1.0,,True,4900,1,1,4900,,4900,1,1,dijkstra,,open,19318,True,54.80385400005616,1,1
4830,5,4830,1.0,,True,4830,1,1,4900,,4900,1,1,bidir,,open,19044,True,100.4226919994835,1,1
4900,5,4900,1.0,,True,4900,1,1,4900,,4900,1,1,astar,,open,19318,True,51.82858599982865,1,1
490,5,980,1.0,,True,490,1,1.0,4900,0,4900,1,0.5,dg5_bulk,0,open,5390,True,4.7227929999280605,1.0,1
246,5,492,1.0,,True,246,2,1.991869918699187,4900,0,4900,1,0.3342391304347826,dg5_bulk,0,open,5390,True,4.494600000725768,0.9959349593495935,2
248,5,571,1.0,,True,323,4,3.9516129032258065,4900,1,4900,1,0.20195439739413681,dg5_bulk,1,open,6075,True,7.142393000322045,0.9879032258064516,4
