distance,distance_ratio,error_code,exact_path_overlap_rate,fallback_used,found,frontier_revisit_rate,heuristic_reversal_rate,nodes,parallel_steps,peak_memory_kib,preprocessing_time_ms,preprocessing_work,query_time_ms,query_work,reentry_count,reentry_count_trace,reentry_survival_mean,reentry_survival_min,requested_nodes,seed,solver,switch_count,switch_distance_mean,topology,total_time_ms,total_work,trace_events
38.0,1.0,,0.0,False,True,1.0,0.0,400,42,0.0,0.11705599990818882,400,0.3636190003817319,40,0,0,0,0,400,0,mrpc_dg5_switchback,0,0,normal,0.4809559995919699,440,4
38.0,1.0,,,False,True,,,400,400,83.7109375,0.0,0,3.1631210003979504,1518,0,,,,400,0,dijkstra,0,,normal,3.1631210003979504,1518,
38.0,1.0,,,False,True,,,400,380,199.9765625,0.0,0,6.059831000129634,1444,0,,,,400,0,bidirectional_dijkstra,0,,normal,6.059831000129634,1444,
38.0,1.0,,,False,True,,,400,400,85.4609375,0.0,0,3.0428499994741287,1518,0,,,,400,0,astar,0,,normal,3.0428499994741287,1518,
38.0,1.0,,0.0,False,True,1.0,0.0,400,42,0.0,0.1515080002718605,400,0.3925019991584122,40,0,0,0,0,400,1,mrpc_dg5_switchback,0,0,normal,0.5444110001917579,440,4
38.0,1.0,,,False,True,,,400,400,83.7109375,0.0,0,2.709045999836235,1518,0,,,,400,1,dijkstra,0,,normal,2.709045999836235,1518,
38.0,1.0,,,False,True,,,400,380,196.296875,0.0,0,5.71960700017371,1444,0,,,,400,1,bidirectional_dijkstra,0,,normal,5.71960700017371,1444,
38.0,1.0,,,False,True,,,400,400,85.4609375,0.0,0,2.8580520001924015,1518,0,,,,400,1,astar,0,,normal,2.8580520001924015,1518,
38.0,1.0,,0.0,False,True,1.0,0.0,400,42,0.0,0.11146799988637213,400,0.2881149994209409,40,0,0,0,0,400,2,mrpc_dg5_switchback,0,0,normal,0.399782999920717,440,4
38.0,1.0,,,False,True,,,400,400,83.7109375,0.0,0,2.6734729999589035,1518,0,,,,400,2,dijkstra,0,,normal,2.6734729999589035,1518,
38.0,1.0,,,False,True,,,400,380,196.28125,0.0,0,7.651300999896193,1444,0,,,,400,2,bidirectional_dijkstra,0,,normal,7.651300999896193,1444,
38.0,1.0,,,False,True,,,400,400,85.4609375,0.0,0,3.114809000180685,1518,0,,,,400,2,astar,0,,normal,3.114809000180685,1518,
58.0,1.0,,0.0,False,True,1.0,0.0,900,92,0.0,0.3864029995384044,900,0.7584540007883334,90,0,0,0,0,900,0,mrpc_dg5_switchback,0,0,normal,1.145088000157557,990,4
58.0,1.0,,,False,True,,,900,900,137.1484375,0.0,0,8.585796000261325,3478,0,,,,900,0,dijkstra,0,,normal,8.585796000261325,3478,
