found_rate,mean_distance_ratio,mean_exact_overlap,mean_h_reversal_rate,mean_reentry_count,mean_reentry_survival,mean_revisit_rate,mean_steps,mean_total_time_ms,mean_total_work,requested_nodes,solver,topology,trials
1.0,1.0,0.0,0.0,0,0,1.0,42,0.4750499999014816,440,400,mrpc_dg5_switchback,normal,3
1.0,1.0,0,0,0,0,0,400,2.8485466667310297,1518,400,dijkstra,normal,3
1.0,1.0,0,0,0,0,0,380,6.476913000066513,1444,400,bidirectional_dijkstra,normal,3
1.0,1.0,0,0,0,0,0,400,3.0052369999490716,1518,400,astar,normal,3
1.0,1.0,0.0,0.0,0,0,1.0,92,0.9434099999149718,990,900,mrpc_dg5_switchback,normal,3
1.0,1.0,0,0,0,0,0,900,8.109130333347517,3478,900,dijkstra,normal,3
1.0,1.0,0,0,0,0,0,870,16.29102266664025,3364,900,bidirectional_dijkstra,normal,3
1.0,1.0,0,0,0,0,0,900,8.33110699992782,3478,900,astar,normal,3
1.0,1.0,0.0,0.0,0,0,1.0,162,1.6270076663810566,1760,1600,mrpc_dg5_switchback,normal,3
1.0,1.0,0,0,0,0,0,1600,14.919281333277468,6238,1600,dijkstra,normal,3
1.0,1.0,0,0,0,0,0,1560,31.736960000065057,6084,1600,bidirectional_dijkstra,normal,3
1.0,1.0,0,0,0,0,0,1600,16.012287333069253,6238,1600,astar,normal,3
1.0,1.0,0.0,0.0,0,0,1.0,41,0.38432299970736494,421,400,mrpc_dg5_switchback,wall,3
1.0,1.0,0,0,0,0,0,265,1.3900129997637123,977,400,dijkstra,wall,3
1.0,1.0,0,0,0,0,0,327,4.638176333476925,1214,400,bidirectional_dijkstra,wall,3
1.0,1.0,0,0,0,0,0,220,1.141191666344336,807,400,astar,wall,3
1.0,1.0,0.0,0.0,0,0,1.0,90,0.8654189999409331,961,900,mrpc_dg5_switchback,wall,3
1.0,1.0,0,0,0,0,0,614,5.026065333368024,2331,900,dijkstra,wall,3
1.0,1.0,0,0,0,0,0,753,13.316928000070524,2870,900,bidirectional_dijkstra,wall,3
1.0,1.0,0,0,0,0,0,505,4.1357786667504115,1911,900,astar,wall,3
1.0,1.0,0.0,0.0,0,0,1.0,159,1.4685246669614571,1721,1600,mrpc_dg5_switchback,wall,3
1.0,1.0,0,0,0,0,0,1108,9.880083999632916,4265,1600,dijkstra,wall,3
1.0,1.0,0,0,0,0,0,1354,26.09409166658831,5226,1600,bidirectional_dijkstra,wall,3
1.0,1.0,0,0,0,0,0,903,8.150447666897284,3467,1600,astar,wall,3
1.0,1.0,0.14634146341463414,0.375,0,0,0.0,81,0.7068260001688031,451,400,mrpc_dg5_switchback,u_shape,3
1.0,1.0,0,0,0,0,0,372,2.512272666535864,1348,400,dijkstra,u_shape,3
1.0,1.0,0,0,0,0,0,327,4.519960999762891,1193,400,bidirectional_dijkstra,u_shape,3
1.0,1.0,0,0,0,0,0,372,2.488637000169547,1348,400,astar,u_shape,3
1.0,1.0,0.0,0.0,0,0,1.0,88,0.7920346661194344,945,900,mrpc_dg5_switchback,u_shape,3
1.0,1.0,0,0,0,0,0,859,7.2782056665043156,3230,900,dijkstra,u_shape,3
1.0,1.0,0,0,0,0,0,768,13.650523999785946,2899,900,bidirectional_dijkstra,u_shape,3
1.0,1.0,0,0,0,0,0,859,7.566840666186181,3230,900,astar,u_shape,3
1.0,1.0,0.0,0.0,0,0,1.0,157,1.471476666968859,1701,1600,mrpc_dg5_switchback,u_shape,3
1.0,1.0,0,0,0,0,0,1546,14.654335333337562,5912,1600,dijkstra,u_shape,3
1.0,1.0,0,0,0,0,0,1394,27.153656666693376,5345,1600,bidirectional_dijkstra,u_shape,3
1.0,1.0,0,0,0,0,0,1546,15.034385333213626,5912,1600,astar,u_shape,3
1.0,1.0,0.14634146341463414,0.375,0,0,0.0,81,0.7091030001902254,453,400,mrpc_dg5_switchback,culdesac,3
1.0,1.0,0,0,0,0,0,374,2.568901666563761,1360,400,dijkstra,culdesac,3
1.0,1.0,0,0,0,0,0,335,4.8091946667530765,1227,400,bidirectional_dijkstra,culdesac,3
1.0,1.0,0,0,0,0,0,331,2.1355776664980417,1209,400,astar,culdesac,3
1.0,1.0,0.0,0.0,0,0,1.0,89,0.8323023333408249,948,900,mrpc_dg5_switchback,culdesac,3
1.0,1.0,0,0,0,0,0,861,7.348397999824859,3242,900,dijkstra,culdesac,3
1.0,1.0,0,0,0,0,0,779,14.022371999696285,2945,900,bidirectional_dijkstra,culdesac,3
1.0,1.0,0,0,0,0,0,761,6.654441333618403,2874,900,astar,culdesac,3
1.0,1.0,0.0,0.0,0,0,1.0,157,1.47956199998589,1703,1600,mrpc_dg5_switchback,culdesac,3
1.0,1.0,0,0,0,0,0,1548,14.341280000129094,5924,1600,dijkstra,culdesac,3
1.0,1.0,0,0,0,0,0,1408,26.816443999753876,5403,1600,bidirectional_dijkstra,culdesac,3
1.0,1.0,0,0,0,0,0,1370,12.993727332892982,5254,1600,astar,culdesac,3
0.0,1.0,0.0,0.0,0,0,1.0,1,0.16996699984398825,1,400,mrpc_dg5_switchback,disconnected,3
0.0,1.0,0,0,0,0,0,200,1.0968149999825982,740,400,dijkstra,disconnected,3
0.0,1.0,0,0,0,0,0,379,5.219499999839172,1400,400,bidirectional_dijkstra,disconnected,3
0.0,1.0,0,0,0,0,0,200,0.9970703337482215,740,400,astar,disconnected,3
0.0,1.0,0.0,0.0,0,0,1.0,1,0.38453666669132264,1,900,mrpc_dg5_switchback,disconnected,3
0.0,1.0,0,0,0,0,0,450,3.4644293333864575,1710,900,dijkstra,disconnected,3
0.0,1.0,0,0,0,0,0,869,15.177758333569122,3300,900,bidirectional_dijkstra,disconnected,3
0.0,1.0,0,0,0,0,0,450,3.412727667030898,1710,900,astar,disconnected,3
0.0,1.0,0.0,0.0,0,0,1.0,1,0.6935293334512002,1,1600,mrpc_dg5_switchback,disconnected,3
0.0,1.0,0,0,0,0,0,800,6.934239666710103,3080,1600,dijkstra,disconnected,3
0.0,1.0,0,0,0,0,0,1559,29.178814999795577,6000,1600,bidirectional_dijkstra,disconnected,3
0.0,1.0,0,0,0,0,0,800,7.0241023331618635,3080,1600,astar,disconnected,3
