budget_exhausted,candidate_count,case_id,distance,distance_ratio,edges,emergency_path_used,emergency_work,error_code,exact_match,fallback_used,first_path_work,found,nodes,oracle_used,path_distance,peak_kib_uniform,quality_budget_used,repair_success,repair_triggered,requested_nodes,seed,solver,steps,strategy,target_work,topology,topology_gate_action,total_time_ms,total_work,valid,within_10pct,work_goal_ratio
,0,0,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,0,dijkstra,400,,,open,,3.604403999815986,1518,True,True,
,0,0,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,0,bidir,380,,,open,,6.525632000375481,1444,True,True,
,0,0,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,0,astar,400,,,open,,2.8980129991396097,1518,True,True,
,0,0,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,0,dg5_clean,42,,40,open,,3.4231259996886365,1960,True,True,
True,1,0,38.0,1.0,760,False,0,,True,False,39,True,400,False,38.0,0.0,141,False,False,400,0,dg6,4,geometric_corridor,180,open,,1.7864530000224477,180,True,True,0.45
,0,1,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,1,dijkstra,400,,,open,,3.475415000139037,1518,True,True,
,0,1,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,1,bidir,380,,,open,,5.433850999907008,1444,True,True,
,0,1,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,1,astar,400,,,open,,2.9078469997330103,1518,True,True,
,0,1,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,1,dg5_clean,42,,40,open,,2.579563999461243,1960,True,True,
True,1,1,38.0,1.0,760,False,0,,True,False,39,True,400,False,38.0,0.0,141,False,False,400,1,dg6,4,geometric_corridor,180,open,,1.5918310000415659,180,True,True,0.45
,0,2,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,2,dijkstra,400,,,open,,2.9820290001225658,1518,True,True,
,0,2,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,2,bidir,380,,,open,,7.7693089997410425,1444,True,True,
,0,2,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,2,astar,400,,,open,,3.6324060001788894,1518,True,True,
,0,2,38.0,1.0,760,False,0,,True,False,,True,400,False,38.0,0.0,,False,False,400,2,dg5_clean,42,,40,open,,3.0326400001285947,1960,True,True,
True,1,2,38.0,1.0,760,False,0,,True,False,39,True,400,False,38.0,0.0,141,False,False,400,2,dg6,4,geometric_corridor,180,open,,1.680694999777188,180,True,True,0.45
,0,3,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,0,dijkstra,1600,,,open,,16.67440900018846,6238,True,True,
,0,3,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,0,bidir,1560,,,open,,34.52531899984024,6084,True,True,
,0,3,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,0,astar,1600,,,open,,16.367102000003797,6238,True,True,
,0,3,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,0,dg5_clean,162,,160,open,,11.635685999863199,8000,True,True,
True,1,3,78.0,1.0,3120,False,0,,True,False,79,True,1600,False,78.0,0.0,641,False,False,1600,0,dg6,6,geometric_corridor,720,open,,4.527358999439457,720,True,True,0.45
,0,4,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,1,dijkstra,1600,,,open,,15.461861999938264,6238,True,True,
,0,4,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,1,bidir,1560,,,open,,77.57932900040032,6084,True,True,
,0,4,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,1,astar,1600,,,open,,26.49842900063959,6238,True,True,
,0,4,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,1,dg5_clean,162,,160,open,,13.034582000727823,8000,True,True,
True,1,4,78.0,1.0,3120,False,0,,True,False,79,True,1600,False,78.0,0.0,641,False,False,1600,1,dg6,6,geometric_corridor,720,open,,4.293617999792332,720,True,True,0.45
,0,5,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,2,dijkstra,1600,,,open,,15.613610000400513,6238,True,True,
,0,5,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,2,bidir,1560,,,open,,34.78314299991325,6084,True,True,
,0,5,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,2,astar,1600,,,open,,16.101904000606737,6238,True,True,
,0,5,78.0,1.0,3120,False,0,,True,False,,True,1600,False,78.0,0.0,,False,False,1600,2,dg5_clean,162,,160,open,,11.483752999993158,8000,True,True,
True,1,5,78.0,1.0,3120,False,0,,True,False,79,True,1600,False,78.0,0.0,641,False,False,1600,2,dg6,6,geometric_corridor,720,open,,4.492207000112103,720,True,True,0.45
,0,6,22.64001150764389,1.0,760,False,0,,True,False,,True,400,False,22.64001150764389,0.0,,False,False,400,0,dijkstra,396,,,weighted_noise,,3.319846000522375,1505,True,True,
,0,6,22.640011507643887,0.9999999999999999,760,False,0,,True,False,,True,400,False,22.64001150764389,0.0,,False,False,400,0,bidir,332,,,weighted_noise,,7.552363999820955,1081,True,True,
,0,6,23.91703129446701,1.0564054389456454,760,False,0,,False,False,,True,400,False,23.470405377281267,0.0,,False,False,400,0,astar,58,,,weighted_noise,,0.31866800054558553,221,False,True,
,0,6,22.64001150764389,1.0,760,False,0,,True,True,,True,400,False,22.64001150764389,0.0,,False,False,400,0,dg5_clean,332,,,weighted_noise,EXACT_PRECHECK,7.607720999658341,3001,True,True,
True,1,6,22.640011507643887,0.9999999999999999,760,False,0,,True,False,283,True,400,False,22.64001150764389,0.0,0,False,False,400,0,dg6,113,weighted_cost,180,weighted_noise,,1.3258709996080142,283,True,True,0.7075
,0,7,22.237518860076822,1.0,760,False,0,,True,False,,True,400,False,22.237518860076822,0.0,,False,False,400,1,dijkstra,392,,,weighted_noise,,3.3878280000863015,1491,True,True,
,0,7,22.23751886007682,0.9999999999999999,760,False,0,,True,False,,True,400,False,22.237518860076822,0.0,,False,False,400,1,bidir,344,,,weighted_noise,,5.154691999450733,1086,True,True,
,0,7,25.19179877456191,1.1328511482361878,760,False,0,,False,False,,True,400,False,25.09461561797457,0.0,,False,False,400,1,astar,83,,,weighted_noise,,0.48902500020631123,324,False,False,
,0,7,22.237518860076822,1.0,760,False,0,,True,True,,True,400,False,22.237518860076822,0.0,,False,False,400,1,dg5_clean,344,,,weighted_noise,EXACT_PRECHECK,7.229867999740236,3006,True,True,
