_beam_astar_path_calls,_beam_astar_path_ms,_budgeted_bidirectional_dijkstra_calls,_budgeted_bidirectional_dijkstra_ms,_budgeted_dijkstra_calls,_budgeted_dijkstra_ms,_candidate_result_calls,_candidate_result_ms,_choose_strategy_calls,_choose_strategy_ms,_corridor_nodes_calls,_corridor_nodes_ms,_expand_by_hops_calls,_expand_by_hops_ms,_geometric_corridor_strategy_calls,_geometric_corridor_strategy_ms,_graph_features_calls,_graph_features_ms,_greedy_geometric_path_calls,_greedy_geometric_path_ms,_hub_aware_strategy_calls,_hub_aware_strategy_ms,_local_repair_calls,_local_repair_ms,_long_edge_portal_endpoints_calls,_long_edge_portal_endpoints_ms,_portal_strategy_calls,_portal_strategy_ms,_weighted_astar_calls,_weighted_astar_ms,_weighted_cost_strategy_calls,_weighted_cost_strategy_ms,case_id,edges,elapsed_ms,emergency,first_path_work,found,nodes,path_distance_calls,path_distance_ms,quality_budget_used,ratio,repair,result_time_ms,seed,strategy,target_work,topology,within10,work
1,0.1394399996570428,,,2,0.1212130000567413,2,0.12453700037440285,1,0.0014829993233433925,1,0.5497560005096602,,,1,0.8438780005235458,1,0.8833669999148697,,,,,,,,,,,,,,,0,760,1.7649720002737013,False,39,True,400,1,0.01068599976861151,141,1.0,False,1.7513319999125088,0,geometric_corridor,180,open,True,180
1,0.13559399940277217,,,2,0.10898400068981573,2,0.11187800009793136,1,0.0013019998732488602,1,0.5144930000824388,,,1,0.7826760001989896,1,0.7478030001948355,,,,,,,,,,,,,,,1,760,1.5773599998283316,False,39,True,400,1,0.01003499983198708,141,1.0,False,1.5508799997405731,1,geometric_corridor,180,open,True,180
1,0.12301500009925803,,,2,0.1089529996534111,2,0.11167800039402209,1,0.0011020001693395898,1,0.5148439995537046,,,1,0.7656600000700564,1,0.7265210006153211,,,,,,,,,,,,,,,2,760,1.517509999757749,False,39,True,400,1,0.009113000487559475,141,1.0,False,1.5083059997778037,2,geometric_corridor,180,open,True,180
1,0.34329600021010265,,,3,0.5984800000078394,3,0.6045489999451092,1,0.0020229999790899456,1,2.3471270005757106,,,1,3.3437539996157284,1,1.4158580006551347,,,,,,,,,,,,,,,3,3120,4.8227959996438585,False,79,True,1600,1,0.02070199934678385,641,1.0,False,4.798969999683322,0,geometric_corridor,720,open,True,720
1,0.27290999969409313,,,3,0.617567000517738,3,0.6233459989744006,1,0.0017929996829479933,1,2.2613370001636213,,,1,3.201669999725709,1,1.190038000459026,,,,,,,,,,,,,,,4,3120,4.463216000658576,False,79,True,1600,1,0.02242299979116069,641,1.0,False,4.4278530003794,1,geometric_corridor,720,open,True,720
1,0.2675420000741724,,,3,0.5809530002807151,3,0.585839999075688,1,0.0018420005289954133,1,2.1177019998503965,,,1,3.0075489994487725,1,1.1400329995012726,,,,,,,,,,,,,,,5,3120,4.203896000035456,False,79,True,1600,1,0.023515000066254288,641,1.0,False,4.184628000075463,2,geometric_corridor,720,open,True,720
,,1,0.48951600001601037,,,,,1,0.0012109994713682681,,,,,,,1,0.7988799998202012,,,,,,,,,,,,,1,0.5033070001445594,6,760,1.334775999566773,False,283,True,400,1,0.00955399991653394,0,0.9999999999999999,False,1.3210249999247026,0,weighted_cost,180,weighted_noise,True,283
,,1,0.4867309999099234,,,,,1,0.0010320000001229346,,,,,,,1,0.864718999764591,,,,,,,,,,,,,1,0.49720700008037966,7,760,1.3895069996578968,False,284,True,400,1,0.010084999303217046,0,0.9999999999999999,False,1.378910999846994,1,weighted_cost,180,weighted_noise,True,284
,,1,0.46927499988669297,,,,,1,0.0008309998520417139,,,,,,,1,0.814222999906633,,,,,,,,,,,,,1,0.4771860003529582,8,760,1.319583000622515,False,278,True,400,1,0.009504999979981221,0,1.0,False,1.3079150003250106,2,weighted_cost,180,weighted_noise,True,278
,,1,2.7915540003959904,,,,,1,0.001631999111850746,,,,,,,1,1.402027000040107,,,,,,,,,,,,,1,2.807208000376704,9,3120,4.265077999662026,False,1152,True,1600,1,0.024236000172095373,0,0.9999999999999999,False,4.246461000548152,0,weighted_cost,720,weighted_noise,True,1152
,,1,2.6670369998100796,,,,,1,0.001321999661740847,,,,,,,1,1.2500490001912112,,,,,,,,,,,,,1,2.6810180006577866,10,3120,3.989593999904173,False,1152,True,1600,1,0.02623999989737058,0,1.0055542845825622,False,3.968772999542125,1,weighted_cost,720,weighted_noise,True,1152
1,0.43167799958609976,1,3.53185600033612,5,0.6708479995722882,4,0.4262809989086236,1,0.002122999831044581,1,1.4451319993895595,3,0.14141299925540807,,,1,1.475076000133413,,,,,1,0.32926499989116564,1,3.8905759993212996,1,8.413530999860086,,,1,3.548691999640141,11,3120,13.521255999876303,False,,True,1600,1,0.024326000129804015,0,1.04527567976037,False,13.49124100033805,2,weighted_cost,720,weighted_noise,True,1152
1,0.14368600022862665,,,2,0.10472699977981392,2,0.10755199946288485,1,0.0015829991752980277,1,0.501943999552168,,,1,0.7745140001134132,1,0.7811740006218315,,,,,,,,,,,,,,,12,703,1.5931839998302166,False,39,True,381,1,0.009714999578136485,133,1.0,False,1.5763589999551186,0,geometric_corridor,172,wall,True,172
1,0.13087700062897056,,,2,0.10752200068964157,2,0.10973400003422284,1,0.0011810006981249899,1,0.49331100035487907,,,1,0.750918000449019,1,0.7417240003633196,,,,,,,,,,,,,,,13,703,1.5202940003291587,False,39,True,381,1,0.008482000339427032,133,1.0,False,1.5090979995875387,1,geometric_corridor,172,wall,True,172
1,0.13115699948684778,,,2,0.10497799939912511,2,0.10703099997044774,1,0.0009409995982423425,1,0.4985089999536285,,,1,0.7519700002376339,1,0.7275030002347194,,,,,,,,,,,,,,,14,703,1.5031479997560382,False,39,True,381,1,0.008232999789470341,133,1.0,False,1.4942950001568533,2,geometric_corridor,172,wall,True,172
