case_id,config,distance_ratio,emergency,exact_match,first_path_work,found,nodes,quality_budget_used,repair,seed,steps,strategy,target_work,time_ms,topology,total_work,valid,within_10pct,work_goal_ratio
0,current,1.0,False,True,39,True,400,161,False,0,4,geometric_corridor,200,3.1610629994247574,open,200,True,True,0.5
1,current,1.0,False,True,39,True,400,161,False,1,4,geometric_corridor,200,2.9587739991256967,open,200,True,True,0.5
2,current,1.0,False,True,39,True,400,161,False,2,4,geometric_corridor,200,2.9308120001587668,open,200,True,True,0.5
3,current,1.0,False,True,79,True,1600,721,False,0,6,geometric_corridor,800,14.54140100031509,open,800,True,True,0.5
4,current,1.0,False,True,79,True,1600,721,False,1,6,geometric_corridor,800,13.428587999442243,open,800,True,True,0.5
5,current,1.0,False,True,79,True,1600,721,False,2,6,geometric_corridor,800,12.378205000459275,open,800,True,True,0.5
6,current,0.9999999999999999,False,True,283,True,400,0,False,0,113,weighted_cost,200,2.064279000478564,weighted_noise,283,True,True,0.7075
7,current,0.9999999999999999,False,True,284,True,400,0,False,1,117,weighted_cost,200,1.9114160004392033,weighted_noise,284,True,True,0.71
8,current,1.0,False,True,278,True,400,0,False,2,117,weighted_cost,200,1.9571060001908336,weighted_noise,278,True,True,0.695
9,current,0.9999999999999999,False,True,1152,True,1600,0,False,0,478,weighted_cost,800,8.824404999359103,weighted_noise,1152,True,True,0.72
10,current,1.0055542845825622,False,False,1152,True,1600,0,False,1,471,weighted_cost,800,8.662502999868593,weighted_noise,1152,True,True,0.72
11,current,1.04527567976037,False,False,,True,1600,0,False,2,10,weighted_cost,800,16.73037100044894,weighted_noise,1152,True,True,0.72
12,current,1.0,False,True,39,True,381,152,False,0,4,geometric_corridor,191,2.8551340001286007,wall,191,True,True,0.5013123359580053
13,current,1.0,False,True,39,True,381,152,False,1,4,geometric_corridor,191,2.7612100002443185,wall,191,True,True,0.5013123359580053
14,current,1.0,False,True,39,True,381,152,False,2,4,geometric_corridor,191,2.749290999418008,wall,191,True,True,0.5013123359580053
15,current,1.0,False,True,79,True,1561,702,False,0,6,geometric_corridor,781,12.140365999584901,wall,781,True,True,0.5003203074951954
16,current,1.0,False,True,79,True,1561,702,False,1,6,geometric_corridor,781,12.589867999849957,wall,781,True,True,0.5003203074951954
17,current,1.0,False,True,84,True,1561,697,False,2,6,geometric_corridor,781,11.836788999971759,wall,781,True,True,0.5003203074951954
18,current,1.0,True,True,,True,362,0,False,0,15,geometric_corridor,181,6.530110999847238,double_wall,502,True,True,1.3867403314917126
19,current,1.0,True,True,,True,362,0,False,1,11,geometric_corridor,181,6.348040999910154,double_wall,445,True,True,1.229281767955801
20,current,1.0,True,True,,True,362,0,False,2,15,geometric_corridor,181,6.350714999825868,double_wall,502,True,True,1.3867403314917126
21,current,1.0,True,True,,True,1522,0,False,0,57,geometric_corridor,761,26.947006000227702,double_wall,2069,True,True,1.3593955321944808
22,current,1.0,True,True,,True,1522,0,False,1,40,geometric_corridor,761,26.754369000627776,double_wall,1715,True,True,1.1268068331143233
23,current,1.0,True,True,,True,1522,0,False,2,57,geometric_corridor,761,27.26955199977965,double_wall,2069,True,True,1.3593955321944808
24,current,1.0,False,True,39,True,368,145,False,0,4,geometric_corridor,184,2.9213459993115976,u_shape,184,True,True,0.5
25,current,1.0,False,True,39,True,368,145,False,1,4,geometric_corridor,184,2.790284999719006,u_shape,184,True,True,0.5
26,current,1.0,False,True,39,True,368,145,False,2,4,geometric_corridor,184,2.7948420001848717,u_shape,184,True,True,0.5
27,current,1.0,False,True,79,True,1538,690,False,0,6,geometric_corridor,769,12.090099000488408,u_shape,769,True,True,0.5
28,current,1.0,False,True,79,True,1538,690,False,1,6,geometric_corridor,769,11.879925000357616,u_shape,769,True,True,0.5
29,current,1.0,False,True,79,True,1538,690,False,2,6,geometric_corridor,769,11.88294900020992,u_shape,769,True,True,0.5
30,current,1.0,False,True,39,True,370,146,False,0,4,geometric_corridor,185,2.9921659997853567,culdesac,185,True,True,0.5
31,current,1.0,False,True,39,True,370,146,False,1,4,geometric_corridor,185,2.7284790003250237,culdesac,185,True,True,0.5
32,current,1.0,False,True,39,True,370,146,False,2,4,geometric_corridor,185,2.7034710001316853,culdesac,185,True,True,0.5
33,current,1.0,False,True,79,True,1540,691,False,0,6,geometric_corridor,770,11.9631429997753,culdesac,770,True,True,0.5
